Date	Close	Open	High	Low	Volume
2016-09-30	58.8	59.9	60.0	58.8	13922
2016-10-03	60.5	59.7	60.7	59.3	10433
2016-10-04	61.7	60.5	61.7	60.4	14441
2016-10-05	61.8	60.8	61.9	60.8	10869
2016-10-06	60.9	61.1	61.5	60.5	8044
2016-10-07	61.3	60.9	61.3	60.7	6190
2016-10-11	60.5	61.3	61.4	59.7	12595
2016-10-12	59.7	59.6	59.9	59.3	6538
2016-10-13	61.0	59.7	61.0	59.3	7548
2016-10-14	59.8	60.5	60.5	59.7	8763
2016-10-17	59.9	59.8	60.0	59.0	4803
2016-10-18	60.9	59.9	60.9	59.9	9646
2016-10-19	61.2	60.9	61.2	60.5	8602
2016-10-20	60.8	61.0	61.1	60.7	6904
2016-10-21	61.2	61.0	61.3	60.8	2702
2016-10-24	61.0	61.5	61.6	60.8	4768
2016-10-25	60.7	61.0	61.2	60.7	17916
2016-10-26	60.9	60.7	61.0	60.3	6321
2016-10-27	59.3	60.6	60.8	59.3	11309
2016-10-28	60.0	59.3	60.0	59.3	6711
2016-10-31	61.1	59.9	61.5	59.4	8475
2016-11-01	60.8	60.6	60.9	60.3	4266
2016-11-02	60.7	60.3	60.8	60.2	3831
2016-11-03	59.8	60.3	60.4	59.6	7482
2016-11-04	60.0	60.0	60.4	59.9	3193
2016-11-07	59.6	60.0	60.3	59.4	5213
2016-11-08	59.6	59.8	60.3	59.2	5645
2016-11-09	56.5	59.0	59.0	56.3	25640
2016-11-10	56.8	57.1	57.9	56.6	20591
2016-11-11	54.9	55.8	56.0	54.7	26316
2016-11-14	54.5	54.9	55.3	54.5	18520
2016-11-15	55.0	54.5	55.9	54.3	23466
2016-11-16	56.2	55.6	56.7	55.4	25567
2016-11-17	55.2	55.5	55.7	55.0	17697
2016-11-18	54.6	55.1	55.2	54.6	13026
2016-11-21	54.6	54.7	54.8	54.5	7981
2016-11-22	54.6	54.9	55.4	54.6	12718
2016-11-23	54.5	54.9	55.2	54.5	14331
2016-11-24	54.9	54.9	55.2	54.5	12608
2016-11-25	55.0	55.0	55.2	55.0	6216
2016-11-28	55.3	55.0	55.4	55.0	7795
2016-11-29	55.0	55.4	55.7	54.7	15159
2016-11-30	54.5	54.7	55.0	54.5	19144
2016-12-01	54.5	54.6	55.1	54.5	10665
2016-12-02	54.1	54.5	54.5	52.9	14842
2016-12-05	54.0	54.2	54.3	53.6	6685
2016-12-06	54.0	54.3	54.3	54.0	9147
2016-12-07	54.0	54.2	54.3	54.0	8763
2016-12-08	55.3	54.1	55.3	54.1	15918
2016-12-09	55.7	55.0	55.7	54.8	10927
2016-12-12	55.4	55.7	56.0	54.8	9222
2016-12-13	54.9	55.0	55.4	54.6	8372
2016-12-14	54.9	55.2	55.4	54.6	8512
2016-12-15	53.3	54.6	54.7	53.3	19210
2016-12-16	53.3	53.4	53.8	53.0	15413
2016-12-19	53.3	53.3	53.6	53.1	7915
2016-12-20	53.0	53.3	53.6	53.0	5454
2016-12-21	53.0	53.0	53.3	53.0	7068
2016-12-22	52.6	53.0	53.1	52.6	5072
2016-12-23	52.2	52.6	52.7	52.2	5251
2016-12-26	52.7	52.3	52.8	52.3	1690
2016-12-27	53.0	52.9	53.1	52.8	2824
2016-12-28	52.9	53.1	53.3	52.8	4767
2016-12-29	52.8	53.0	53.1	52.8	4423
2016-12-30	53.4	53.0	53.6	53.0	5502
